Date,USD,IDR
9/1/2013,"1.396,10 (-1.228,39)","510.731 (-853.007,00)"
9/2/2013,"1.390,90 (-1.233,59)","507.555 (-856.183,78)"
9/3/2013,"1.409,00 (-1.215,49)","518.282 (-845.456,56)"
9/4/2013,"1.388,40 (-1.236,09)","511.106 (-852.632,25)"
9/5/2013,"1.370,10 (-1.254,39)","511.682 (-852.056,70)"
9/6/2013,"1.389,10 (-1.235,39)","521.413 (-842.325,93)"
9/7/2013,"1.392,60 (-1.231,89)","522.726 (-841.012,17)"
9/8/2013,"1.392,60 (-1.231,89)","522.726 (-841.012,17)"
9/9/2013,"1.386,80 (-1.237,69)","519.591 (-844.147,87)"
9/10/2013,"1.365,10 (-1.259,39)","506.479 (-857.259,58)"
9/11/2013,"1.363,10 (-1.261,39)","503.436 (-860.302,41)"
9/12/2013,"1.331,80 (-1.292,69)","491.341 (-872.397,73)"
9/13/2013,"1.314,30 (-1.310,19)","482.180 (-881.558,36)"
9/14/2013,"1.327,40 (-1.297,09)","486.986 (-876.752,34)"
9/15/2013,"1.327,40 (-1.297,09)","486.986 (-876.752,34)"
9/16/2013,"1.318,80 (-1.305,69)","484.425 (-879.313,83)"
9/17/2013,"1.310,60 (-1.313,89)","481.413 (-882.325,88)"
9/18/2013,"1.302,10 (-1.322,39)","480.384 (-883.354,94)"
9/19/2013,"1.369,20 (-1.255,29)","496.335 (-867.403,91)"
9/20/2013,"1.331,50 (-1.292,99)","485.879 (-877.859,49)"
9/21/2013,"1.326,60 (-1.297,89)","484.091 (-879.647,56)"
9/22/2013,"1.326,60 (-1.297,89)","484.091 (-879.647,56)"
9/23/2013,"1.328,10 (-1.296,39)","489.976 (-873.762,77)"
9/24/2013,"1.315,30 (-1.309,19)","488.425 (-875.313,48)"
9/25/2013,"1.337,30 (-1.287,19)","496.594 (-867.143,97)"
9/26/2013,"1.323,10 (-1.301,39)","487.068 (-876.670,88)"
9/27/2013,"1.338,80 (-1.285,69)","494.999 (-868.739,13)"
9/28/2013,"1.337,10 (-1.287,39)","494.371 (-869.367,68)"
9/29/2013,"1.337,10 (-1.287,39)","494.371 (-869.367,68)"
9/30/2013,"1.329,00 (-1.295,49)","497.251 (-866.487,37)"
10/1/2013,"2.703,20 (-12,56)","475.071 (-888.667,77)"
10/2/2013,"2.703,20 (-12,56)","488.257 (-875.481,38)"
10/3/2013,"2.703,20 (-12,56)","488.961 (-874.777,36)"
10/4/2013,"2.703,20 (-12,56)","485.108 (-878.630,95)"
10/5/2013,"2.703,20 (-12,56)","485.849 (-877.889,88)"
10/6/2013,"2.703,20 (-12,56)","485.849 (-877.889,88)"
10/7/2013,"2.703,20 (-12,56)","489.712 (-874.026,32)"
10/8/2013,"2.703,20 (-12,56)","489.934 (-873.804,48)"
10/9/2013,"2.703,20 (-12,56)","481.541 (-882.197,43)"
10/10/2013,"1.299,10 (-1.325,39)","480.321 (-883.417,55)"
10/11/2013,"1.269,40 (-1.355,09)","463.218 (-900.520,47)"
10/12/2013,"1.271,10 (-1.353,39)","463.838 (-899.900,12)"
10/13/2013,"1.271,10 (-1.353,39)","463.838 (-899.900,12)"
10/14/2013,"1.278,30 (-1.346,19)","466.466 (-897.272,76)"
10/15/2013,"1.272,00 (-1.352,49)","464.167 (-899.571,70)"
10/16/2013,"1.280,70 (-1.343,79)","467.444 (-896.294,03)"
10/17/2013,"1.321,70 (-1.302,79)","482.409 (-881.329,39)"
10/18/2013,"1.314,40 (-1.310,09)","478.054 (-885.684,18)"
10/19/2013,"1.318,50 (-1.305,99)","479.545 (-884.192,99)"
10/20/2013,"1.318,50 (-1.305,99)","479.545 (-884.192,99)"
10/21/2013,"1.318,00 (-1.306,49)","480.635 (-883.103,60)"
10/22/2013,"1.342,60 (-1.281,89)","488.958 (-874.780,21)"
10/23/2013,"1.336,00 (-1.288,49)","483.763 (-879.975,82)"
10/24/2013,"1.351,30 (-1.273,19)","484.415 (-879.323,32)"
10/25/2013,"1.350,90 (-1.273,59)","476.345 (-887.393,13)"
10/26/2013,"1.353,90 (-1.270,59)","477.403 (-886.335,29)"
10/27/2013,"1.353,90 (-1.270,59)","477.403 (-886.335,29)"
10/28/2013,"1.354,30 (-1.270,19)","481.136 (-882.602,05)"
10/29/2013,"1.345,60 (-1.278,89)","479.127 (-884.611,31)"
10/30/2013,"1.355,10 (-1.269,39)","487.956 (-875.782,72)"
10/31/2013,"1.320,00 (-1.304,49)","478.500 (-885.238,89)"
11/1/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
11/2/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
11/3/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
11/4/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
11/5/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
11/6/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
11/7/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
11/8/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
11/9/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
11/10/2013,"1.289,00 (-1.335,49)","472.442 (-891.296,09)"
11/11/2013,"1.283,00 (-1.341,49)","475.709 (-888.029,66)"
11/12/2013,"1.276,40 (-1.348,09)","475.621 (-888.117,16)"
11/13/2013,"1.277,00 (-1.347,49)","477.077 (-886.661,89)"
11/14/2013,"1.290,20 (-1.334,29)","477.238 (-886.500,78)"
11/15/2013,"1.288,80 (-1.335,69)","480.656 (-883.082,22)"
11/16/2013,"1.289,90 (-1.334,59)","481.066 (-882.671,98)"
11/17/2013,"1.289,90 (-1.334,59)","481.066 (-882.671,98)"
11/18/2013,"1.274,30 (-1.350,19)","476.682 (-887.056,04)"
11/19/2013,"1.276,70 (-1.347,79)","476.451 (-887.287,05)"
11/20/2013,"1.263,10 (-1.361,39)","471.985 (-891.753,29)"
11/21/2013,"1.241,20 (-1.383,29)","466.495 (-897.243,08)"
11/22/2013,"1.246,80 (-1.377,69)","470.103 (-893.635,16)"
11/23/2013,"1.243,60 (-1.380,89)","468.897 (-894.841,71)"
11/24/2013,"1.243,60 (-1.380,89)","468.897 (-894.841,71)"
11/25/2013,"1.241,30 (-1.383,19)","467.431 (-896.307,55)"
11/26/2013,"1.243,20 (-1.381,29)","471.144 (-892.594,34)"
11/27/2013,"1.240,70 (-1.383,79)","473.687 (-890.051,46)"
11/28/2013,"1.245,40 (-1.379,09)","480.887 (-882.851,57)"
11/29/2013,"1.253,20 (-1.371,29)","483.899 (-879.839,75)"
11/30/2013,"1.252,70 (-1.371,79)","483.706 (-880.032,82)"
12/1/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
12/2/2013,"2.703,20 (-12,56)","1.423.410 (-6.613,66)"
